,old_PUC,Category,Product,Refined,description,type,fHands,fBody,sum_f,fRinseH,fwipeH,sum_H,fRinseB,fWipeB,Sum_B,fRinseS,fWipeS,Sum_S,AllHands,new_PUC
97,P.IH.010.999,inside the home,air freshener,NOC,home air fresheners,SOL,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,CP.0100.010.099.F
98,P.IH.020.000,inside the home,automatic dishwashing additive,,"rinse aids, spot removers, and dishwasher cleaners",LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0400.020.099.F
99,P.IH.030.007,inside the home,automatic dishwashing detergent,gel,detergents for automatic dishwashers (gel formulation specified),LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0400.030.051.F
100,P.IH.030.023,inside the home,automatic dishwashing detergent,powder,detergents for automatic dishwashers (powder formulation specified),DAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0400.030.053.F
101,P.IH.030.999,inside the home,automatic dishwashing detergent,NOC,detergents for automatic dishwashers,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0400.030.099.F
102,P.IH.040.029,inside the home,bathroom cleaner,spray,"bathtub, tile, and toilet surface cleaners (spray or aerosol formulation specified)",SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0200.010.050.F
103,P.IH.040.999,inside the home,bathroom cleaner,NOC,"bathtub, tile, and toilet surface cleaners",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0200.010.099.F
104,P.IH.050.000,inside the home,bleach,,bleaches (including color-safe bleaches),LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0700.010.099.F
105,P.IH.060.000,inside the home,candles,,candles,SOL,NA,NA,0,0.99,0,0.99,0.99,0,0.99,0,0,0,NA,NA
106,P.IH.070.029,inside the home,carpet cleaner,spray,carpet cleaning products and machine solutions (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.35,0.35,0.7,NA,CP.0300.010.050.F
107,P.IH.070.999,inside the home,carpet cleaner,NOC,carpet cleaning products and machine solutions,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.35,0.35,0.7,NA,CP.0300.010.099.F
108,P.IH.080.000,inside the home,carpet deodorizer,,carpet deodorizers,DIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.6,0.6,NA,CP.0300.020.099.F
109,P.IH.090.000,inside the home,dish soap,,hand dish washing liquids and detergents,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,1,CP.0400.040.099.F
110,P.IH.100.029,inside the home,disinfectant,spray,disinfecting liquids (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0700.020.050.F
111,P.IH.100.999,inside the home,disinfectant,NOC,disinfecting liquids (including wipes),LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.9,0.09,0.99,NA,CP.0700.020.099.F
112,P.IH.110.000,inside the home,drain,,drain openers or digesters,LDR,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.0500.010.099.F
113,P.IH.120.000,inside the home,dry cleaner,,dry cleaning fluids or kits for home use,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.010.099.F
114,P.IH.130.000,inside the home,dryer sheets,,dryer fabric softener sheets,DAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,NA,CP.1200.020.099.F
